Employee_Name,EmpID,Full time status,GenderID,EmpStatusID,Process ScoreID,Process 1,Process 2,Process 3,Process 4,Process 5,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceComments,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Baczenski, Rachael  ",10252,1,0,5,2.177489898,0.871100797,0.832477284,0.346595613,0.060196481,0.067119723,54670,1,19,Production Technician I,MA,1902,01-12-1974,F,Married,US Citizen,Yes,01-10-2011,01-12-2017,Another position,Active,D&A,David Stanley,14,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12
"Barbara, Thomas",10242,1,1,5,1.961893447,0.19998252,0.60198714,0.037225177,0.737970329,0.384728281,47211,1,19,Production Technician I,MA,2062,02/21/74,M ,Married,US Citizen,Yes,04-02-2012,9/19/2016,unhappy,Active,D&A,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,4.2,3,0,05-06-2016,0,15
"Barbossa, Hector",10012,0,1,1,2.553073157,0.542186773,0.646740607,0.343108917,0.099742317,0.921294542,92328,0,9,Data Analyst,TX,78230,07-04-1988,M ,Divorced,US Citizen,No,11-10-2014,,N/A-StillEmployed,Active,D&A,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,0,9
"Barone, Francesco  A",10265,0,1,1,1.927777987,0.328964954,0.542547924,0.350180673,0.516857306,0.18922713,58709,0,19,Production Technician I,MA,1810,07/20/83,M ,Single,US Citizen,No,2/20/2012,,N/A-StillEmployed,Active,D&A,Kelley Spirea,18,Google Search,Fully Meets,4.6,4,0,2/14/2019,0,7
"Barton, Nader",10066,0,1,5,2.01558594,0.585549575,0.286753853,0.038421873,0.800654404,0.304206236,52505,1,19,Production Technician I,MA,2747,07/15/77,M ,Divorced,US Citizen,No,9/24/2012,04-06-2017,Another position,Active,D&A,Michael Albert,22,On-line Web application,Fully Meets,5,5,0,03-02-2017,0,1
"Bates, Norman",10061,0,1,4,2.548621332,0.693260278,0.628850075,0.37346112,0.383224462,0.469825398,57834,1,19,Production Technician I,MA,2050,10/18/81,M ,Single,US Citizen,No,2/21/2011,08-04-2017,attendance,Active,D&A,Kelley Spirea,18,Google Search,Fully Meets,5,4,0,04-05-2017,0,20
"Beak, Kimberly  ",10023,1,0,2,1.797527383,0.187139182,0.210501824,0.867315281,0.100866226,0.43170487,70131,0,20,Production Technician II,MA,2145,04/17/66,F,Married,US Citizen,No,7/21/2016,,N/A-StillEmployed,Active,D&A,Kelley Spirea,18,Employee Referral,Exceeds,4.4,3,0,1/14/2019,0,16
"Beatrice, Courtney ",10055,0,0,1,2.188497173,0.401803494,0.717157565,0.641565375,0.014942928,0.413027812,59026,0,19,Production Technician I,MA,1915,10/27/70,F,Single,Eligible NonCitizen,No,04-04-2011,,N/A-StillEmployed,Active,D&A,Elijiah Gray,16,Google Search,Fully Meets,5,5,0,1/14/2019,0,12
"Becker, Renee",10245,0,0,4,3.294326412,0.578995891,0.865297074,0.475332122,0.882247986,0.49245334,110000,1,8,Database Administrator,MA,2026,04-04-1986,F,Single,US Citizen,Yes,07-07-2014,09-12-2015,performance,Active,D&A,Simon Roup,4,Google Search,Fully Meets,4.5,4,5,1/15/2015,0,8
"Becker, Scott",10277,0,1,3,2.201326993,0.659092135,0.818607189,0.000637541,0.138470317,0.584519812,53250,0,19,Production Technician I,MA,2452,04-06-1979,M ,Single,US Citizen,No,07-08-2013,,N/A-StillEmployed,Active,D&A,Webster Butler,,LinkedIn,Fully Meets,4.2,4,0,01-11-2019,0,13
"Bernstein, Sean",10046,0,1,1,1.987116062,0.582435396,0.054094046,0.421285853,0.443679713,0.485621055,51044,0,19,Production Technician I,MA,2072,12/22/70,M ,Single,US Citizen,Yes,04-02-2012,,N/A-StillEmployed,Active,D&A,Amy Dunn,11,Google Search,Fully Meets,5,3,0,1/14/2019,0,13
"Biden, Lowan  M",10226,0,0,1,2.782595133,0.172344212,0.63162364,0.728310883,0.568398786,0.681917612,64919,0,19,Production Technician I,MA,2027,12/27/58,F,Divorced,US Citizen,No,8/19/2013,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Indeed,Fully Meets,4.2,3,0,01-10-2019,0,2
"Billis, Helen",10003,1,0,1,2.363535562,0.383401772,0.594849969,0.469309084,0.443530041,0.472444696,62910,0,19,Production Technician I,MA,2031,09-01-1989,F,Married,US Citizen,No,07-07-2014,,N/A-StillEmployed,Active,D&A,Brannon Miller,12,Indeed,Exceeds,5,3,0,2/27/2019,0,19
"Blount, Dianna",10294,0,0,1,2.52115141,0.136858121,0.570826225,0.599400282,0.903310085,0.310756697,66441,0,20,Production Technician II,MA,2171,09/21/90,F,Single,US Citizen,No,04-04-2011,,N/A-StillEmployed,Active,D&A,Michael Albert,22,CareerBuilder,Needs Improvement,2,3,0,2/27/2019,2,3
"Bondwell, Betsy",10267,0,0,5,1.460109459,0.45667009,0.166205284,0.349099313,0.285762559,0.202372213,57815,1,20,Production Technician II,MA,2210,01/16/67,F,Single,US Citizen,No,01-10-2011,04-04-2014,career change,Active,D&A,Elijiah Gray,16,Google Search,Fully Meets,4.8,5,0,03-04-2014,0,5
"Booth, Frank",10199,0,1,4,3.337049908,0.666070681,0.476335779,0.713642034,0.878345866,0.602655548,103613,1,30,Enterprise Architect,CT,6033,07/30/64,M ,Single,US Citizen,No,2/17/2014,2/19/2016,Learned that he is a gangster,Active,D&A,Simon Roup,4,LinkedIn,Fully Meets,3.5,5,7,01-10-2016,0,2
"Boutwell, Bonalyn",10081,1,0,1,3.276948615,0.991179892,0.449323052,0.076030583,0.918513346,0.841901743,106367,0,26,Sr. Accountant,MA,2468,04-04-1987,F,Married,US Citizen,No,2/16/2015,,N/A-StillEmployed,Active,D&A,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,3,2/18/2019,0,4
"Bozzi, Charles",10175,0,1,5,2.890234599,0.527517276,0.871313713,0.813676218,0.057421037,0.620306354,74312,1,18,Production Manager,MA,1901,03-10-1970,M ,Single,US Citizen,No,9/30/2013,08-07-2014,retiring,Active,D&A,Janet King,2,Indeed,Fully Meets,3.39,3,0,2/20/2014,0,14
"Brill, Donna",10177,1,0,5,2.174505388,0.817812204,0.212019848,0.767061563,0.342546308,0.035065466,53492,1,19,Production Technician I,MA,1701,08/24/90,F,Married,US Citizen,No,04-02-2012,6/15/2013,Another position,Active,D&A,David Stanley,14,Google Search,Fully Meets,3.35,4,0,03-04-2013,0,6
"Brown, Mia",10238,1,0,1,1.848491164,0.013645856,0.138939064,0.791748385,0.637677399,0.266480461,63000,0,1,Accountant I,MA,1450,11/24/87,F,Married,US Citizen,No,10/27/2008,,N/A-StillEmployed,Active,D&A,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,0,14
"Buccheri, Joseph  ",10184,0,1,1,3.501825476,0.435466317,0.936732839,0.30780459,0.945038156,0.876783575,65288,0,20,Production Technician II,MA,1013,07/28/83,M ,Single,US Citizen,No,9/29/2014,,N/A-StillEmployed,Active,D&A,Webster Butler,,Google Search,Fully Meets,3.19,3,0,02-01-2019,0,9
"Bugali, Josephine ",10203,0,0,3,2.147922702,0.352087564,0.528734093,0.400797705,0.743424663,0.122878677,64375,0,19,Production Technician I,MA,2043,10/30/69,F,Separated,US Citizen,No,11-11-2013,,N/A-StillEmployed,Active,D&A,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,0,17
"Bunbury, Jessica",10188,1,0,5,3.715541297,0.344721224,0.879327183,0.788493363,0.861985152,0.841014374,74326,1,3,Area Sales Manager,VA,21851,06-01-1964,F,Married,Eligible NonCitizen,No,8/15/2011,08-02-2014,Another position,Active,D&A,John Smith,17,Google Search,Fully Meets,3.14,5,0,02-10-2013,1,19
"Burke, Joelle",10107,0,0,1,2.372815071,0.017129675,0.604328041,0.601736311,0.883973246,0.265647797,63763,0,20,Production Technician II,MA,2148,03-02-1980,F,Single,US Citizen,No,03-05-2012,,N/A-StillEmployed,Active,D&A,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,0,3
"Burkett, Benjamin ",10181,1,1,1,2.851143198,0.412739041,0.859864761,0.918642992,0.154499027,0.505397377,62162,0,20,Production Technician II,MA,1890,08/19/77,M ,Married,US Citizen,No,04-04-2011,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,0,1/14/2019,0,15
"Cady, Max ",10150,0,1,1,3.238034755,0.636665407,0.671161153,0.321600808,0.701768016,0.906839371,77692,0,25,Software Engineering Manager,MA,2184,11/22/66,M ,Single,US Citizen,No,8/15/2011,,N/A-StillEmployed,Active,D&A,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,5,1/21/2019,0,4
"Candie, Calvin",10001,0,1,1,2.723247144,0.816603537,0.179771255,0.690827778,0.809275817,0.226768757,72640,0,18,Production Manager,MA,2169,08-09-1983,M ,Single,US Citizen,No,1/28/2016,,N/A-StillEmployed,Active,D&A,Janet King,2,Indeed,Exceeds,5,3,0,2/22/2019,0,14
"Carabbio, Judith",10085,0,0,1,3.334755948,0.822559715,0.785421638,0.520710557,0.470534651,0.735529388,93396,0,24,Software Engineer,MA,2132,04-05-1987,F,Single,US Citizen,No,11-11-2013,,N/A-StillEmployed,Active,D&A,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,6,1/30/2019,0,3
"Carey, Michael  ",10115,0,1,1,1.789542338,0.100758769,0.214959136,0.443894666,0.089574904,0.940354863,52846,0,19,Production Technician I,MA,1701,02-02-1983,M ,Single,US Citizen,No,3/31/2014,,N/A-StillEmployed,Active,D&A,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,0,02-01-2019,0,14
"Carr, Claudia  N",10082,0,0,2,2.98034243,0.870618327,0.887095094,0.175678658,0.817618345,0.229332007,100031,0,27,Sr. DBA,MA,1886,06-06-1986,F,Single,US Citizen,No,6/30/2016,,N/A-StillEmployed,Active,D&A,Simon Roup,4,LinkedIn,Fully Meets,5,5,6,2/18/2019,0,7
"Carter, Michelle ",10040,0,0,1,2.46972941,0.75857988,0.472291746,0.319782701,0.097222427,0.821852657,71860,0,3,Area Sales Manager,VT,5664,05/15/63,F,Single,US Citizen,No,8/18/2014,,N/A-StillEmployed,Active,D&A,John Smith,17,Indeed,Fully Meets,5,5,0,1/21/2019,0,7
"Chace, Beatrice ",10067,0,0,1,1.543068808,0.166590238,0.00787725,0.621911705,0.590038375,0.156651241,61656,0,19,Production Technician I,MA,2763,01-02-1951,F,Single,US Citizen,No,9/29/2014,,N/A-StillEmployed,Active,D&A,Michael Albert,22,Google Search,Fully Meets,5,4,0,02-12-2019,0,11
"Champaigne, Brian",10108,1,1,1,2.626527122,0.634853592,0.805632653,0.261190893,0.451327548,0.473522436,110929,0,5,BI Director,MA,2045,02-09-1972,M ,Married,US Citizen,No,09-06-2016,,N/A-StillEmployed,Active,D&A,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,7,1/15/2019,0,8
"Chan, Lin",10210,0,0,1,4.124936455,0.884516174,0.817171946,0.680446794,0.822039924,0.920761617,54237,0,19,Production Technician I,MA,2170,02-12-1979,F,Single,US Citizen,No,05-12-2014,,N/A-StillEmployed,Active,D&A,Elijiah Gray,16,Indeed,Fully Meets,3.3,4,0,2/19/2019,0,11
"Chang, Donovan  E",10154,0,1,1,2.134525229,0.285394284,0.179013113,0.885495552,0.039080536,0.745541744,60380,0,19,Production Technician I,MA,1845,08/24/83,M ,Single,US Citizen,No,07-08-2013,,N/A-StillEmployed,Active,D&A,Webster Butler,,LinkedIn,Fully Meets,3.8,5,0,1/14/2019,0,4
"Chigurh, Anton",10200,0,1,1,3.535324306,0.591457342,0.90572676,0.934956176,0.847792617,0.255391411,66808,0,3,Area Sales Manager,TX,78207,06-11-1970,M ,Single,Eligible NonCitizen,No,5/14/2012,,N/A-StillEmployed,Active,D&A,Lynn Daneault,21,Employee Referral,Fully Meets,3,5,0,1/19/2019,0,17
"Chivukula, Enola",10240,0,0,5,2.332919765,0.305467103,0.16241392,0.606022129,0.623963907,0.635052706,64786,1,19,Production Technician I,MA,1775,08/27/83,F,Single,US Citizen,No,6/27/2011,11/15/2015,relocation out of area,Active,D&A,Amy Dunn,11,Indeed,Fully Meets,4.3,4,0,03-10-2015,0,3
"Cierpiszewski, Caroline  ",10168,0,0,1,2.173242974,0.326093225,0.905332958,0.73327603,0.029034921,0.17950584,64816,0,19,Production Technician I,MA,2044,05/31/88,F,Single,Non-Citizen,No,10-03-2011,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,0,1/30/2019,0,3
"Clayton, Rick",10220,0,1,1,2.835809575,0.283988638,0.660719333,0.353883287,0.745558635,0.791659683,68678,0,14,IT Support,MA,2170,09-05-1985,M ,Single,US Citizen,No,09-05-2012,,N/A-StillEmployed,Active,D&A,Eric Dougall,6,Indeed,Fully Meets,4.7,3,6,2/27/2019,0,2
"Cloninger, Jennifer",10275,1,0,10,2.55216422,0.298645376,0.701268889,0.142072886,0.901297606,0.508879463,64066,1,20,Production Technician II,MA,1752,08/31/81,F,Married,US Citizen,No,5/16/2011,01-07-2013,unhappy,Active,D&A,Brannon Miller,12,Google Search,Fully Meets,4.2,5,0,05-03-2012,0,9
"Close, Phil",10269,1,1,5,1.926808758,0.464606179,0.032548571,0.222214912,0.996152897,0.2112862,59369,1,20,Production Technician II,MA,2169,11/25/78,M ,Married,US Citizen,No,8/30/2010,9/26/2011,career change,Active,D&A,David Stanley,14,Indeed,Fully Meets,4.2,4,0,05-04-2011,0,6
"Clukey, Elijian",10029,1,1,2,2.415365312,0.070260837,0.610224268,0.379344714,0.862562744,0.492972749,50373,0,19,Production Technician I,MA,2134,08/26/80,M ,Married,US Citizen,No,07-06-2016,,N/A-StillEmployed,Active,D&A,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,0,2/28/2019,0,5
"Cockel, James",10261,0,1,1,2.595948699,0.775587295,0.035634339,0.532013992,0.363318092,0.88939498,63108,0,19,Production Technician I,MA,2452,09-08-1977,M ,Single,US Citizen,No,07-08-2013,,N/A-StillEmployed,Active,D&A,David Stanley,14,Employee Referral,Fully Meets,4.4,5,0,1/14/2019,0,3
"Cole, Spencer",10292,0,1,4,2.319327554,0.439106568,0.554373361,0.099469138,0.763242277,0.463136209,59144,1,19,Production Technician I,MA,1880,08-12-1979,M ,Single,US Citizen,No,07-11-2011,9/23/2016,performance,Active,D&A,Kissy Sullivan,20,LinkedIn,Needs Improvement,2,3,0,05-01-2016,5,16
"Corleone, Michael",10282,0,1,1,2.170286619,0.211225484,0.945347234,0.044647128,0.772318805,0.196747968,68051,0,18,Production Manager,MA,1803,12/17/75,M ,Divorced,US Citizen,No,7/20/2010,,N/A-StillEmployed,Active,D&A,Janet King,2,CareerBuilder,Needs Improvement,4.13,2,0,1/14/2019,3,3
"Corleone, Vito",10019,0,1,1,2.967418344,0.052872031,0.321307071,0.993537561,0.69125921,0.908442472,170500,0,10,Director of Operations,MA,2030,03/19/83,M ,Single,US Citizen,No,01-05-2009,,N/A-StillEmployed,Active,D&A,Janet King,2,Indeed,Exceeds,3.7,5,0,02-04-2019,0,15
"Cornett, Lisa ",10094,1,0,1,2.890653491,0.677237019,0.105490671,0.849027607,0.607422804,0.65147539,63381,0,19,Production Technician I,MA,2189,03/31/77,F,Married,US Citizen,Yes,01-05-2015,,N/A-StillEmployed,Active,D&A,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,0,2/14/2019,0,6
"Costello, Frank",10193,1,1,1,2.313586704,0.598886608,0.762415245,0.253947625,0.386308419,0.312028806,83552,0,9,Data Analyst,MA,1810,08/26/86,M ,Married,US Citizen,No,3/30/2015,,N/A-StillEmployed,Active,D&A,Simon Roup,4,Indeed,Fully Meets,3.04,3,6,1/22/2019,0,2
"Crimmings,   Jean",10132,0,0,2,2.024519802,0.636694823,0.355579973,0.049351342,0.65545189,0.327441774,56149,0,19,Production Technician I,MA,1821,04-10-1987,F,Single,US Citizen,No,07-06-2016,,N/A-StillEmployed,Active,D&A,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,0,1/28/2019,0,15
"Cross, Noah",10083,0,1,1,2.987567685,0.791816112,0.52755431,0.900389209,0.107119471,0.660688583,92329,0,28,Sr. Network Engineer,CT,6278,09-09-1965,M ,Single,US Citizen,No,11-10-2014,,N/A-StillEmployed,Active,D&A,Peter Monroe,7,Employee Referral,Fully Meets,5,3,4,01-02-2019,0,5
"Daneault, Lynn",10099,0,0,1,2.644923668,0.7999299,0.35349463,0.85748638,0.628373146,0.005639611,65729,0,21,Sales Manager,VT,5473,04/19/90,F,Single,US Citizen,No,05-05-2014,,N/A-StillEmployed,Active,D&A,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,0,1/24/2019,0,8
"Daniele, Ann  ",10212,1,0,3,1.762929439,0.026242493,0.290129987,0.546514776,0.463829968,0.436212216,85028,0,28,Sr. Network Engineer,CT,6033,01/18/52,F,Married,US Citizen,No,11-10-2014,,N/A-StillEmployed,Active,D&A,Peter Monroe,7,LinkedIn,Fully Meets,3.1,5,8,02-12-2019,0,19
"Darson, Jene'ya ",10056,1,0,1,2.28099849,0.620687444,0.510987862,0.548718954,0.346831196,0.253773034,57583,0,19,Production Technician I,MA,2110,11-05-1978,F,Married,US Citizen,No,07-02-2012,,N/A-StillEmployed,Active,D&A,Elijiah Gray,16,Indeed,Fully Meets,5,3,0,2/25/2019,0,1
"Davis, Daniel",10143,0,1,1,4.18127062,0.782880099,0.580553983,0.881041896,0.953958522,0.98283612,56294,0,20,Production Technician II,MA,2458,09/14/79,M ,Single,Eligible NonCitizen,No,11-07-2011,,N/A-StillEmployed,Active,D&A,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,0,2/27/2019,0,6
"Dee, Randy",10311,1,1,1,2.707862507,0.659455112,0.049550168,0.807229482,0.31258289,0.879044855,56991,0,19,Production Technician I,MA,2138,04/15/88,M ,Married,US Citizen,No,07-09-2018,,N/A-StillEmployed,Active,D&A,Brannon Miller,12,Indeed,Fully Meets,4.3,4,3,1/31/2019,2,2
"DeGweck,  James",10070,1,1,5,1.917749903,0.734331245,0.67026943,0.236660037,0.225922221,0.05056697,55722,1,19,Production Technician I,MA,1810,10/31/77,M ,Married,US Citizen,No,5/16/2011,06-08-2016,unhappy,Active,D&A,Webster Butler,39,Indeed,Fully Meets,5,4,0,04-02-2016,0,14
"Del Bosque, Keyla",10155,0,0,1,2.430994436,0.111197536,0.539545298,0.928887068,0.332956118,0.518408415,101199,0,24,Software Engineer,MA,2176,07-05-1979,F,Single,US Citizen,No,01-09-2012,,N/A-StillEmployed,Active,D&A,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,5,1/25/2019,0,8
"Delarge, Alex",10306,0,1,1,3.206735401,0.913573498,0.487531094,0.456555296,0.621281917,0.727793597,61568,0,3,Area Sales Manager,AL,36006,11-02-1975,M ,Single,US Citizen,No,9/29/2014,,N/A-StillEmployed,Active,D&A,John Smith,17,Indeed,PIP,1.93,3,0,1/30/2019,6,5
"Demita, Carla",10100,0,0,5,2.630868452,0.797511516,0.213222235,0.31147161,0.772742189,0.535920902,58275,1,20,Production Technician II,MA,2343,02/25/51,F,Separated,US Citizen,No,04-04-2011,11-04-2015,more money,Active,D&A,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,0,05-06-2015,0,1
"Desimone, Carl ",10310,1,1,1,2.339820975,0.631957895,0.024164395,0.094940826,0.617955488,0.970802371,53189,0,19,Production Technician I,MA,2061,04/19/67,M ,Married,US Citizen,No,07-07-2014,,N/A-StillEmployed,Active,D&A,Amy Dunn,11,Indeed,PIP,1.12,2,0,1/31/2019,4,9
"DeVito, Tommy",10197,0,1,1,2.410835877,0.293005994,0.976750196,0.306063966,0.527215178,0.307800543,96820,0,4,BI Developer,MA,2045,09-04-1983,M ,Single,US Citizen,No,2/15/2017,,N/A-StillEmployed,Active,D&A,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,7,1/23/2019,0,15
"Dickinson, Geoff ",10276,0,1,1,3.399395492,0.667825743,0.273151898,0.777244883,0.73710253,0.944070439,51259,0,19,Production Technician I,MA,2180,11/15/82,M ,Single,US Citizen,No,05-12-2014,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Indeed,Fully Meets,4.3,4,0,2/19/2019,0,1
"Dietrich, Jenna  ",10304,0,0,1,2.447205657,0.162357452,0.531745628,0.989800138,0.400588067,0.362714372,59231,0,3,Area Sales Manager,WA,98052,05/14/87,F,Single,US Citizen,Yes,2/20/2012,,N/A-StillEmployed,Active,D&A,John Smith,17,Website,PIP,2.3,1,0,1/29/2019,2,17
"DiNocco, Lily ",10284,1,0,1,2.241451712,0.715768764,0.115457771,0.03070743,0.51058767,0.868930078,61584,0,19,Production Technician I,MA,2351,12-02-1978,F,Married,US Citizen,No,01-07-2013,,N/A-StillEmployed,Active,D&A,Brannon Miller,12,Indeed,Needs Improvement,3.88,4,0,1/18/2019,0,6
"Dobrin, Denisa  S",10207,0,0,1,3.124513371,0.494996245,0.753688204,0.336794431,0.68339027,0.85564422,46335,0,19,Production Technician I,MA,2125,10-07-1986,F,Single,US Citizen,Yes,04-02-2012,,N/A-StillEmployed,Active,D&A,David Stanley,14,CareerBuilder,Fully Meets,3.4,5,0,2/19/2019,0,15
"Dolan, Linda",10133,1,0,1,2.838333296,0.863806852,0.766057089,0.007749375,0.975718027,0.225001954,70621,0,14,IT Support,MA,2119,07/18/88,F,Married,US Citizen,No,01-05-2015,,N/A-StillEmployed,Active,D&A,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,2/25/2019,0,16
"Dougall, Eric",10028,0,1,1,1.914943076,0.483724953,0.465904702,0.326109537,0.424491516,0.214712368,138888,0,13,IT Manager - Support,MA,1886,07-09-1970,M ,Single,US Citizen,No,01-05-2014,,N/A-StillEmployed,Active,D&A,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,5,01-04-2019,0,4
"Driver, Elle",10006,0,0,1,2.093689218,0.546092184,0.74638533,0.199567471,0.026254898,0.575389335,74241,0,3,Area Sales Manager,CA,90007,11-08-1988,F,Single,US Citizen,No,01-10-2011,,N/A-StillEmployed,Active,D&A,Lynn Daneault,21,Indeed,Exceeds,4.77,5,0,1/27/2019,0,14
"Dunn, Amy  ",10105,0,0,1,1.189556064,0.455938638,0.172573787,0.261731304,0.140321233,0.158991102,75188,0,18,Production Manager,MA,1731,11/28/73,F,Single,US Citizen,No,9/18/2014,,N/A-StillEmployed,Active,D&A,Janet King,2,Google Search,Fully Meets,4.52,4,0,1/15/2019,0,4
"Dunne, Amy",10211,1,0,1,1.538921533,0.316107698,0.632242235,0.470551381,0.051079171,0.068941047,62514,0,19,Production Technician I,MA,1749,09/23/73,F,Married,US Citizen,No,4/26/2010,,N/A-StillEmployed,Active,D&A,Ketsia Liebig,19,Google Search,Fully Meets,2.9,3,0,1/21/2019,0,6
"Eaton, Marianne",10064,1,0,5,2.28896481,0.195922183,0.022864582,0.530913294,0.732746573,0.806518179,60070,1,19,Production Technician I,MA,2343,09-05-1991,F,Married,US Citizen,No,04-04-2011,06-06-2017,military,Active,D&A,Kissy Sullivan,20,Google Search,Fully Meets,5,3,0,04-09-2017,0,7
"Engdahl, Jean",10247,0,1,1,1.903246984,0.257820884,0.006929902,0.460832891,0.37798487,0.799678436,48888,0,19,Production Technician I,MA,2026,05/31/74,M ,Single,US Citizen,No,11-10-2014,,N/A-StillEmployed,Active,D&A,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,5,0,2/13/2019,0,8
